Current Account,Savings Account,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Job,Credit Risk,cluster
0,739,13,12,M,Single,23,Own,Unskilled,Low,5
0,1230,25,0,M,Divorced,32,Own,Skilled,High,5
0,389,19,119,M,Single,38,Own,Management,High,3
638,347,13,14,M,Single,36,Own,Unskilled,High,5
963,4754,40,45,M,Single,31,Rent,Skilled,Low,3
2827,0,11,13,M,Married,25,Own,Skilled,Low,2
0,229,13,16,M,Married,26,Own,Unskilled,Low,5
0,533,14,2,M,Single,27,Own,Unskilled,Low,5
6509,493,37,9,M,Single,25,Own,Skilled,High,4
966,0,25,4,F,Divorced,43,Own,Skilled,High,5
0,989,49,0,M,Single,32,Rent,Management,High,4
0,3305,11,15,M,Single,34,Rent,Unskilled,Low,5
322,578,10,14,M,Married,26,Own,Skilled,Low,5
0,821,25,63,M,Single,44,Own,Skilled,High,3
396,228,13,26,M,Single,46,Own,Unskilled,Low,5
0,129,31,8,M,Divorced,39,Own,Management,Low,5
652,732,49,4,F,Divorced,25,Own,Skilled,High,4
708,683,13,33,M,Single,31,Own,Skilled,Low,3
207,0,28,116,M,Single,47,Own,Skilled,Low,3
287,12348,7,2,F,Divorced,23,Rent,Skilled,High,1
0,17545,34,16,F,Divorced,22,Own,Skilled,High,1
101,3871,13,5,F,Divorced,26,Rent,Skilled,High,5
0,0,25,23,M,Married,19,Own,Skilled,High,5
0,485,37,23,F,Divorced,27,Own,Management,High,4
0,10723,11,15,M,Single,39,Rent,Unskilled,Low,1
141,245,22,33,M,Single,26,Own,Skilled,Low,3
0,0,19,58,M,Single,50,Other,Skilled,High,3
2484,0,49,46,M,Single,34,Other,Skilled,Low,4
237,236,37,24,M,Single,23,Rent,Skilled,Low,4
0,485,19,12,M,Single,23,Own,Skilled,Low,5
335,1708,37,7,M,Single,46,Other,Skilled,High,4
3565,0,31,32,M,Single,35,Own,Skilled,Low,4
0,407,13,2,F,Divorced,28,Own,Skilled,Low,5
16647,895,16,34,M,Single,25,Rent,Skilled,Low,2
0,150,49,46,F,Divorced,36,Rent,Skilled,High,4
0,490,5,41,M,Single,41,Own,Unskilled,Low,3
0,162,25,1,M,Divorced,54,Own,Skilled,High,5
940,715,9,40,F,Divorced,43,Own,Unskilled,Low,3
0,323,49,42,M,Married,33,Own,Skilled,High,4
0,128,13,74,M,Single,34,Own,Skilled,High,3
218,0,49,0,M,Single,39,Other,Unemployed,Low,4
0,109,25,26,M,Single,34,Own,Unskilled,Low,5
16935,189,37,60,M,Single,30,Own,Skilled,Low,2
664,537,31,33,M,Single,48,Own,Skilled,High,5
150,6520,12,1,F,Divorced,19,Own,Skilled,Low,5
0,138,7,119,M,Married,29,Rent,Skilled,Low,3
216,0,19,3,F,Divorced,26,Rent,Skilled,High,5
0,660,17,75,M,Single,42,Rent,Skilled,High,3
